Winner,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
Red,-58.70006425895856,12.636554409097293,-9.156492796104722,3.40498168703182,14.708177440283624,-5.5018976728470115,0.9019235719413989,1.5119680770992123,0.5628766250075686,0.18072670408156694
Red,-71.32687594224242,20.94674925996644,8.82639136842792,6.1340689044637795,9.017914924991667,-0.9872265832697151,1.103791627880322,0.010374208554513696,-0.7841101507476159,1.7021803706172762
Red,-18.71926608263472,56.051009794769534,39.0774112372974,8.96121511075157,-13.761248745847992,1.5232390658388426,-0.012839288946200685,-2.458311409310231,2.9711501583181534,5.763424989067717
Blue,-56.8963154556976,6.029648253186252,-4.502559105764208,1.8277766969841598,8.215407086587144,-1.2145666265642916,-3.6999137747598683,-0.7640371710538282,4.371483274132177,4.317165363990224
Blue,117.95127523232777,-8.346030534944404,2.97612887163896,-4.402438434536656,28.84681318760586,1.7717972866568403,-4.107835135686356,4.028357840536188,-0.542086702616314,-2.1488341582098687
Red,-55.498222367470895,24.864945103726825,2.7152904787933814,-0.11908293420261552,6.393230658766962,10.037861541704435,-1.3407169851893388,1.683175090371201,1.9332504875940733,4.27417854938695
Blue,-86.97816274764214,10.109472954475974,-7.60282371620611,2.5042649494768243,9.864158409194188,-4.619004501305581,-0.9183079038898581,-3.87515803251007,0.7669821041107164,0.27684348219035526
Blue,-37.19810398463524,19.62201912876522,-11.574903433462966,-3.242250205301211,-5.7712146333122405,-3.4745535425402005,5.073333424032597,-2.566575528790598,1.6732088912794993,2.779963417589098
Red,-87.8711098410642,6.380083284620665,15.606853774965945,9.160203021163655,14.725584532808496,0.2682223965515266,3.013963347995725,1.6713732552440093,-3.2004862497896642,-2.911444520257036
Blue,23.453333731102788,-7.269891196888298,11.778352247955882,-2.1589418555391156,-10.501332194356038,9.09796575974814,-0.512431597537677,-2.303655712553591,0.6065395325595224,0.06962538435482107
Red,-54.924713464772665,8.2141204156435,-15.851207995701271,-4.272318578888866,3.844212170944077,2.5758762478298687,8.344320928011294,1.3940545656294996,0.7364168101321971,0.5922870264688278
Red,-69.57550312543219,9.406941720146179,6.215874466496509,1.1579759838545827,4.31491207703962,7.244718184572295,3.425701282422772,0.35182796342065054,-5.662291712301481,0.4177708501514338
Blue,53.65454080583932,31.474809704603597,1.393272551276771,-4.140778121467859,-10.967752378341892,5.144408775360079,-1.7374361378736676,-1.2030171693401213,-4.909709466823095,2.6625921585171803
Blue,52.83864348569844,5.988704699090084,-6.943822695389547,-4.136904182367427,-10.359977888819754,-2.139687554172343,2.8063690937144607,-7.920625163851686,4.986434310173839,3.497558163181734
Red,-38.99135170352567,-5.767852876569461,-2.8065245026294416,-3.180444887125553,-0.6144581676010251,7.6150707709621415,-0.6002711126983922,-3.0447740680679463,-0.8408652332257405,1.3053883805870625
Blue,-24.62663357521891,-0.7815210695225171,0.9035063200349649,1.6197723077499238,0.57915235429489,-2.6429487230932014,2.0598749284256335,-2.1463530763236647,-1.064261431826237,0.6583343552365293
Red,-39.081169550061155,-10.738859862142998,-6.03322935322511,1.7328891860724414,-2.543017506746699,-11.072866893127761,1.3239997492729043,-2.411452259327254,3.188842127120237,6.3235915272814855
Blue,-1.2397856030233587,-17.957487507467036,-0.514409737520735,0.7172506925487468,-4.897969148832993,-5.936103227499484,-0.3441934310953478,0.3924401876944073,-0.34272230619453065,2.6263103920561504
Blue,-55.49500388153241,-4.917335253628414,9.114086322559304,2.9663652011815826,7.187577092984753,6.501535529386566,12.118344247229246,-3.9982785488393833,0.7448329474479626,5.087822935811091
Blue,-21.824546095735695,11.294193309651355,-0.17490220154795771,1.0093513033970645,-7.733517789387215,-7.981006651165389,7.1433209103758974,7.609329049290045,-1.5616233390027614,-1.2187609730088886
Blue,-16.319566353700147,3.9458449037036,-10.2549709767267,14.204081517066793,6.1431526538766645,-10.711139973879323,3.576882735627275,-1.5120856152231799,0.3293136798208779,-1.7796313721494037
Red,-43.804168583525446,-17.758099502689923,-0.7467531020737961,3.2289752468063013,-12.211694129064446,5.374683085215327,-2.5663845207209723,-2.5298659183602386,7.684397745834687,-4.928512789585886
Blue,48.59668785488322,-9.423701611668854,9.77105083298385,3.2220068640537862,2.333574012419843,0.49604219256292176,-2.3489173220492927,0.4738458040934883,3.6633640796405866,-0.2522790478983973
Red,-18.16400711153524,-15.676036762115704,0.9585358617804398,-7.183110364293022,-20.62564033747372,7.1836846506889795,-2.199689721807162,-1.1982581369870224,-2.643596073530832,-0.8769857548236377
Red,-2.5072871886311114,67.08859707640791,-14.62956225696557,-0.621132636254914,0.35299888866228807,-9.926102816387944,-8.117005361667871,0.46445918407232023,3.939485846153697,-8.149843324652752
Blue,21.91201543885978,2.4544034246581763,-7.418989355358649,-8.083995931044369,-5.498945346287823,13.447684647826526,-0.31686997341354833,0.7816912798912333,2.4219707910248873,2.081326185384338
Blue,-38.998073959919054,-14.012686616348661,-0.44591924588524784,-3.8212448180061127,-0.1464404749397609,11.39020338822646,1.6661987888341767,-1.8984510534105599,-2.606067559044546,-4.267561492059268
Red,-1.3473841760070464,-1.1823612274434332,-9.388026851206662,-5.521994065106862,-2.9405427718198025,6.356352875481681,0.2636122330420139,3.9760016679149084,3.183706687612953,0.6989413028524085
Red,-23.966256048225855,54.55583611691715,25.093959431855126,5.478172054625227,1.8747352681066884,10.291320470509156,-4.096076426380669,0.9220903259723088,0.07865995970374805,2.569926782279252
Red,-25.832309060987075,-9.961769529220124,-6.002320194047374,1.110211726021562,2.999504145122421,-5.20369320945374,1.0305121121691438,-2.402661110636988,4.79492265667993,3.631813603282908
Red,-24.477742951641503,-4.596967230544933,-8.456862719143247,-4.673909058412055,-0.5497405948705515,6.633062546779541,-3.6519971246207446,-3.456628401395389,-0.10693709613279173,2.2815407834019767
Blue,0.2776667653596698,-2.9409871390743088,-9.52306647341863,-5.470008411884172,-8.415420933686766,1.5210659571075298,-0.5960410274713256,-3.194135477024756,-4.121078521168682,1.9622731507643354
Blue,-30.164756324900583,-10.647730577364824,1.4780228512819005,-7.634051826961425,-4.930305368725929,-2.5759632021368506,-2.2875632401331387,-0.7487469329545459,-2.553789068268561,-1.5744457463077377
Blue,51.11969961874689,33.78020911523575,23.07212353783947,7.144119885839192,-1.860808787428641,-1.9666558539481223,6.829082443011247,-2.8573577252703246,-0.2289489270531604,-3.2841329610368644
Red,20.770612997805205,4.863171616687812,-8.83724469802171,-3.822597746774347,-2.8407457444082267,1.3091057791089924,-0.7911976707335804,-4.317775884372305,1.3138159512802943,0.3248752300186538
Red,-36.72734444558218,-4.110272529458188,1.4281448751059447,2.3885522462041417,-9.423536570067945,-11.258765354597475,2.0393806194552018,0.7482070650420599,1.4650824273377636,4.480203383693476
Blue,-88.57706225906139,22.058818470705567,14.67078423974358,6.98564109414558,16.854763728771314,7.799735837999609,-7.12786685166955,-0.17257871303801334,-0.9117639873351835,-2.7657231354814664
Red,24.153311186796703,34.914980294249474,40.23893095503761,11.708725044734537,-9.177188856502884,-4.328164024156269,9.149443454962459,1.45446494268286,6.498708348681038,2.814130610749338
Blue,-40.08344495097354,31.53743559527344,-12.650187915671744,-2.710965853192152,3.161506631086965,0.8024518110671451,-2.079434748479915,1.8987045411657617,6.122435079329755,-4.074721630189943
Blue,-3.3885631769722866,36.87870616283557,-34.0481855042108,-7.953547486545813,3.4953737776428238,-3.705074704568913,-2.6864581472271793,-0.8989645370224084,-4.601291167974848,5.828983019270893
Red,-56.71757195098343,5.667316189872507,11.621900272659978,3.729997332381121,11.062155181862144,9.159225454319404,5.204906490166461,-0.1338250934696826,-5.128785109354538,-0.23836428192224887
Blue,52.29571129958069,5.826656449763007,-13.321094482950798,-3.4932687201832597,-8.810047929177827,-9.172628257868718,5.250467356222612,-8.80028375680652,-2.1081339962573593,0.4360403656176089
Red,-24.812118523489755,-11.494661494041486,4.312724054888161,2.387069761469564,0.6879771118284793,-1.7834277607771707,1.5294953847317527,4.764325197707578,-3.350980229424398,4.231541625844376
Red,-1.4946251158842883,20.259997090614167,13.294797761075689,4.504245887864953,-0.8676133523073726,-0.9982012541297135,1.8461000964027219,4.270410366923079,-3.4610050351958708,2.6922950414563176
Blue,-25.20905010273704,85.42017040647936,12.142190946399436,5.607843702735612,7.251622352236851,1.6409039006744173,2.7493618829068405,-2.9103528546661486,-2.174570497452724,-3.7811232626210733
Red,-70.16069637544456,-14.715061135532741,5.090625565820073,1.6291822868189858,4.0903810804559315,4.841955926040478,1.2291530084349445,1.8730107671572247,0.1659631545641976,5.8219123437058675
Red,-57.42226026891529,-13.041912060310072,-3.7582237361153843,0.8814069554906082,9.762056119036075,2.4038399666109798,-2.257176957189776,-6.310480221293165,0.7747752561347631,-5.1193908493965035
Blue,-57.53622290155244,-9.223774178815754,-5.372452448735105,1.4256710390147298,10.571239826276331,0.32012621207995184,5.11954308864002,0.17328861545383212,8.070230211711836,-2.5022912832217568
Blue,-21.634407875219523,50.96262059529726,34.05450728033158,12.445008509329025,-5.6048742773592535,-8.276940114599144,0.04039343774391076,0.3794962377654596,-4.722579868053221,2.9001823000399223
Red,23.06357225837417,20.09715566593529,10.09298489839818,0.43747405554649255,-8.202195306404638,2.131363943686294,0.9968919245259962,-4.757847604158879,1.9329310346431057,0.9068340578706428
Blue,-36.53129159037897,30.621519697286033,-16.196516882148572,-3.704043966156538,-9.07992688998789,-8.922281805333885,0.6241999259229113,-1.0487523046629246,1.6533752086318902,-1.7407454349078773
